WardNo,WardName,Population2011,Area(sqkm),Households2011,RoadLength(kms),Lakes,LakeArea(sqkm),Parks,ParkArea(sqkm),Playgrounds,PlaygroundArea(sqm),GovtSchools,PoliceStations,FireStations,BusStops,StreetLights,PopulationDensity2011,DecadalPopnGrowthRate
18,"Radhakrishna TempleWard",35122,1.9,9058,54,1,80474,29,74683.61,2,9799,1,1,0,18,2217,"18,014",36.30%
19,Sanjaya Nagar,32491,1.5,8153,44,0,0,21,37718.13,3,9231,2,0,0,9,1720,"21,096",34.40%
20,Ganga Nagar,27361,2.3,6592,31,0,0,7,9386.52,3,15535,2,0,0,23,1647,"12,096",4.20%
21,Hebbala,32516,1.2,8181,36,0,0,10,13100.59,4,13277,3,1,0,10,1489,"26,455",34.60%
22,"VishwanathNagenahalli",51592,1.5,12704,51,0,0,0,0,4,10540,4,0,0,8,2886,"34,772",100.80%
23,Nagavara,60483,2.1,12295,65,0,0,0,0,0,0,7,0,0,14,768,"29,205",71.50%
24,HBR Layout,58967,4.6,13612,119,1,91057,11,33641.57,1,4808,5,1,0,33,1043,"12,717",83.40%
25,Horamavu,95368,17.5,23999,341,5,972443,6,35194.28,3,16129,13,2,0,57,4004,"5,437",238.60%
26,Ramamurthy Nagar,47358,7.3,11674,144,0,0,2,3879.96,1,855,5,0,0,26,3042,"6,523",115.30%
27,Banasavadi,51268,3.4,12922,101,1,79263,17,112570.79,3,23604,4,1,1,31,2727,"14,940",60.20%
28,Kammanahalli,47074,1,11479,43,2,79942,2,3783.78,3,10665,1,0,0,9,1427,"45,494",35.20%
29,Kacharkanahalli,33588,1.7,8700,55,0,0,4,12951.95,0,0,1,0,0,25,1671,"19,916",15.70%
30,Kadugondanahalli,45748,0.7,9758,32,0,0,3,5235.53,0,0,2,0,0,8,1561,"65,514",31.30%
31,Kushal Nagar,41936,0.6,8192,28,0,0,1,596.1,0,0,3,0,0,12,993,"65,064",23.20%
32,Kaval Bairasandra,39334,1.6,9540,50,0,0,4,7208.17,1,3664,1,0,0,17,1881,"24,771",48.20%
33,Manorayana Palya,47926,0.8,10572,33,0,0,1,2710.87,2,1996,4,1,0,5,1804,"59,123",37.80%
34,Gangenahalli,24308,1.1,6058,20,0,0,2,17153.05,0,0,2,0,0,13,1889,"22,226",-2.60%
35,Aramane Nagara,36738,7.5,8825,57,1,138784,22,1150100.84,4,42436,1,1,0,46,2670,"4,919",20.90%
36,Mattikere,37036,0.9,9592,32,0,0,8,10283.15,3,3650,4,0,0,8,2484,"41,069",3.20%
37,Yeshwanthpura,41107,0.8,10326,25,0,0,3,2123.13,1,8251,3,0,0,5,990,"53,039",14.30%
38,HMT Ward,36879,5.2,9524,74,0,0,14,53534.3,2,9804,2,1,0,34,1845,"7,053",23.90%
39,Chokkasandra,59289,3.8,16537,75,1,63616,13,44551.24,1,7498,4,1,0,31,2088,"15,752",96.90%
40,Dodda Bidarakallu,72794,12.9,19506,282,3,227210,17,62276.02,5,30159,9,0,0,55,3589,"5,649",276.20%
41,"Peenya IndustrialArea",57814,5.5,15805,90,2,269105,9,33736.14,0,0,5,0,1,34,2518,"10,423",110.50%
42,Lakshmi Devi Nagar,41352,1.5,10620,36,0,0,4,17282.07,3,9673,3,1,0,16,2354,"27,325",61.70%
43,Nandini Layout,51200,1.4,13291,49,0,0,24,82807.54,3,13394,1,1,0,21,2864,"36,191",49.20%
44,Marappana Palya,40212,2,10051,52,0,0,11,25569.19,2,7278,2,0,1,13,1303,"19,785",18.30%
45,Malleshwaram,34196,1.8,8503,34,0,0,4,13706.6,0,0,4,1,0,26,1673,"18,939",-5.90%
46,Jayachamarajendra Nagar,31449,0.9,7696,29,0,0,8,16200.7,1,10075,3,0,0,14,2280,2.30%,14.50%
47,Devara Jeevanahalli,42135,1.4,8941,28,0,0,4,8179.71,1,1709,2,0,0,6,1116,"30,833",25.80%
48,Muneshwara Nagar,35814,0.5,7419,21,0,0,1,742.8,1,4742,5,0,0,0,666,"74,511",17.40%
49,Lingarajapura,37955,0.9,8850,36,0,0,6,11588.55,1,9713,4,0,0,7,1312,"43,274",17.20%
50,Benniganahalli,49094,4.9,12384,64,1,28748,36,105644.64,0,0,5,1,0,30,2103,"9,980",53.50%
51,Vijnanapura,46159,2.1,11087,55,0,0,7,11927.75,1,3809,2,0,0,11,1847,"22,464",31.60%
52,KR Puram,35168,4.8,8961,83,3,332124,9,12806.52,1,8851,3,1,0,14,2453,"7,308",32.80%
53,Basavanapura,48585,6.3,11936,126,3,206069,7,4816.87,1,5086,7,0,0,8,2213,"7,740",120.70%
54,Hudi,50191,15,12579,197,3,296464,7,20559.83,0,0,13,0,1,41,3478,"3,349",142.50%
55,Devasandra,33946,3.5,8638,45,4,138527,1,46959.59,0,0,6,1,0,15,890,"9,754",53.90%
56,A Narayanapura,43443,2.1,11039,52,2,141307,1,3232.73,1,4734,4,0,0,7,2994,"20,286",47.70%
57,C.V. Raman Nagar,58815,3.6,16710,67,1,143548,2,1391.3,1,3302,5,0,0,20,1639,"16,379",97.60%
58,New Tippa Sandra,43983,3.4,12200,68,1,28811,10,32901.02,1,12550,4,1,0,18,2127,"13,085",27.20%
59,Maruthi Seva Nagar,40362,2.4,10113,45,1,46330,6,12103.5,4,25490,6,0,0,9,1747,"16,942",12.70%
60,Sagayara Puram,35334,0.8,7340,26,0,0,2,10828.66,4,26207,3,0,0,16,1017,"45,792",1.30%
61,SK Garden,38050,1.3,7941,26,0,0,4,7971.2,1,5465,4,1,0,5,803,"29,129",12.10%
62,Ramaswamy Palya,34394,0.8,7530,24,0,0,4,79966.23,0,0,5,1,0,3,1418,"41,334",6.20%
63,Jaya Mahal,21728,1.4,4808,34,0,0,12,159743.29,0,0,2,0,0,36,2728,"14,986",-9.70%
64,Raj Mahal Guttahalli,31118,0.7,7641,24,0,0,8,12855.25,2,10927,2,1,0,7,1951,"43,530",-8.40%
65,"Kadu MalleshwarWard",35609,1.4,9823,32,0,0,9,37858.9,3,22652,6,1,0,19,1278,"26,086",4.60%
66,Subramanya Nagar,35709,0.9,9383,28,0,0,6,26920.05,1,18968,2,1,0,12,1983,"37,919",2.40%
67,Nagapura,34574,1.8,8667,47,0,0,25,63498.46,3,15374,1,0,0,30,2535,"19,260",-2.80%
68,Mahalakshmipuram,44615,0.9,11563,33,0,0,10,28541.61,1,2197,3,1,0,7,2380,"47,275",24.00%
69,Laggere,57077,1.6,15178,55,0,0,0,0,6,11766,2,0,0,11,3579,"36,245",125.00%
